"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 01 06:05:15 UTC 2022","Fri Apr 01 06:05:16 UTC 2022","172","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","defaults","defaults",""
"skipped","Fri Apr 01 06:05:22 UTC 2022","Fri Apr 01 06:05:22 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (asc)","rating (asc)",""
"passed","Fri Apr 01 06:05:51 UTC 2022","Fri Apr 01 06:05:51 UTC 2022","270","","Shipping zones API tests","","Shipping zones API tests","cannot delete the default shipping zone ""Locations not covered by your other zones""","cannot delete the default shipping zone ""Locations not covered by your other zones""",""
"passed","Fri Apr 01 06:05:38 UTC 2022","Fri Apr 01 06:05:39 UTC 2022","757","","Coupons API tests","","Coupons API tests","can create a coupon","can create a coupon",""
"passed","Fri Apr 01 06:05:45 UTC 2022","Fri Apr 01 06:05:45 UTC 2022","329","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'completed'","can create an order with status 'completed'",""
"passed","Fri Apr 01 06:05:34 UTC 2022","Fri Apr 01 06:05:35 UTC 2022","326","","Orders API tests List all orders","","Orders API tests List all orders","dp (precision)","dp (precision)",""
"passed","Fri Apr 01 06:05:46 UTC 2022","Fri Apr 01 06:05:47 UTC 2022","94","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'pending'","can update status of an order to 'pending'",""
"passed","Fri Apr 01 06:05:48 UTC 2022","Fri Apr 01 06:05:48 UTC 2022","270","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can pay for an order","can pay for an order",""
"passed","Fri Apr 01 06:05:42 UTC 2022","Fri Apr 01 06:05:43 UTC 2022","92","","Products API tests: CRUD","","Products API tests: CRUD","can view a single product","can view a single product",""
"passed","Fri Apr 01 06:05:32 UTC 2022","Fri Apr 01 06:05:33 UTC 2022","613","","Orders API tests List all orders","","Orders API tests List all orders","pagination","pagination",""
"passed","Fri Apr 01 06:05:20 UTC 2022","Fri Apr 01 06:05:20 UTC 2022","242","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","parent","parent",""
"passed","Fri Apr 01 06:05:42 UTC 2022","Fri Apr 01 06:05:42 UTC 2022","166","","Products API tests: CRUD","","Products API tests: CRUD","can add a simple product","can add a simple product",""
"passed","Fri Apr 01 06:05:32 UTC 2022","Fri Apr 01 06:05:32 UTC 2022","90","","Orders API tests","","Orders API tests","can retrieve an order","can retrieve an order",""
"passed","Fri Apr 01 06:05:40 UTC 2022","Fri Apr 01 06:05:40 UTC 2022","186","","Coupons API tests","","Coupons API tests","can permanently delete a coupon","can permanently delete a coupon",""
"passed","Fri Apr 01 06:05:47 UTC 2022","Fri Apr 01 06:05:47 UTC 2022","169","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'processing'","can update status of an order to 'processing'",""
"passed","Fri Apr 01 06:05:36 UTC 2022","Fri Apr 01 06:05:36 UTC 2022","344","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","id","id",""
"passed","Fri Apr 01 06:05:51 UTC 2022","Fri Apr 01 06:05:51 UTC 2022","79","","Shipping zones API tests","","Shipping zones API tests","cannot update the default shipping zone","cannot update the default shipping zone",""
"passed","Fri Apr 01 06:05:43 UTC 2022","Fri Apr 01 06:05:43 UTC 2022","167","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch update products","can batch update products",""
"passed","Fri Apr 01 06:05:55 UTC 2022","Fri Apr 01 06:05:55 UTC 2022","88","","Order Search API tests","","Order Search API tests","can search by shipping state","can search by shipping state",""
"passed","Fri Apr 01 06:05:55 UTC 2022","Fri Apr 01 06:05:55 UTC 2022","83","","Order Search API tests","","Order Search API tests","can return an empty result set when no matches were found","can return an empty result set when no matches were found",""
"passed","Fri Apr 01 06:05:51 UTC 2022","Fri Apr 01 06:05:51 UTC 2022","81","","Shipping zones API tests","","Shipping zones API tests","can create a shipping zone","can create a shipping zone",""
"passed","Fri Apr 01 06:05:40 UTC 2022","Fri Apr 01 06:05:40 UTC 2022","294","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch delete coupons","can batch delete coupons",""
"passed","Fri Apr 01 06:05:40 UTC 2022","Fri Apr 01 06:05:41 UTC 2022","92","","Coupons API tests List coupons","","Coupons API tests List coupons","can list all coupons by default","can list all coupons by default",""
"passed","Fri Apr 01 06:05:54 UTC 2022","Fri Apr 01 06:05:54 UTC 2022","89","","Order Search API tests","","Order Search API tests","can search by orderId","can search by orderId",""
"passed","Fri Apr 01 06:05:43 UTC 2022","Fri Apr 01 06:05:43 UTC 2022","198","","Products API tests: CRUD","","Products API tests: CRUD","can delete a product","can delete a product",""
"passed","Fri Apr 01 06:05:40 UTC 2022","Fri Apr 01 06:05:40 UTC 2022","104","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch update coupons","can batch update coupons",""
"passed","Fri Apr 01 06:05:17 UTC 2022","Fri Apr 01 06:05:17 UTC 2022","174","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","slug","slug",""
"passed","Fri Apr 01 06:05:19 UTC 2022","Fri Apr 01 06:05:19 UTC 2022","103","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","attributes","attributes",""
"passed","Fri Apr 01 06:05:54 UTC 2022","Fri Apr 01 06:05:54 UTC 2022","88","","Order Search API tests","","Order Search API tests","can search by billing company name","can search by billing company name",""
"passed","Fri Apr 01 06:05:42 UTC 2022","Fri Apr 01 06:05:42 UTC 2022","279","","Products API tests: CRUD","","Products API tests: CRUD","can add a virtual product","can add a virtual product",""
"passed","Fri Apr 01 06:05:44 UTC 2022","Fri Apr 01 06:05:45 UTC 2022","320","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'processing'","can create an order with status 'processing'",""
