"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 09 15:29:42 UTC 2022","Sat Apr 09 15:29:42 UTC 2022","74","","Refunds API tests","","Refunds API tests","can retrieve a refund","can retrieve a refund",""
"passed","Sat Apr 09 15:29:16 UTC 2022","Sat Apr 09 15:29:16 UTC 2022","81","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (desc)","popularity (desc)",""
"passed","Sat Apr 09 15:29:27 UTC 2022","Sat Apr 09 15:29:28 UTC 2022","151","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","default","default",""
"passed","Sat Apr 09 15:29:14 UTC 2022","Sat Apr 09 15:29:14 UTC 2022","88","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","attributes","attributes",""
"passed","Sat Apr 09 15:29:43 UTC 2022","Sat Apr 09 15:29:43 UTC 2022","75","","Order Search API tests","","Order Search API tests","can search by billing company name","can search by billing company name",""
"passed","Sat Apr 09 15:29:14 UTC 2022","Sat Apr 09 15:29:14 UTC 2022","76","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","shipping class","shipping class",""
"passed","Sat Apr 09 15:29:43 UTC 2022","Sat Apr 09 15:29:43 UTC 2022","73","","Order Search API tests","","Order Search API tests","can search by shipping first name","can search by shipping first name",""
"passed","Sat Apr 09 15:29:38 UTC 2022","Sat Apr 09 15:29:38 UTC 2022","107","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Sat Apr 09 15:29:35 UTC 2022","Sat Apr 09 15:29:36 UTC 2022","274","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'processing'","can create an order with status 'processing'",""
"passed","Sat Apr 09 15:29:36 UTC 2022","Sat Apr 09 15:29:37 UTC 2022","220","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'refunded'","can create an order with status 'refunded'",""
"passed","Sat Apr 09 15:29:31 UTC 2022","Sat Apr 09 15:29:31 UTC 2022","77","","Coupons API tests","","Coupons API tests","can update a coupon","can update a coupon",""
"passed","Sat Apr 09 15:29:41 UTC 2022","Sat Apr 09 15:29:41 UTC 2022","71","","Shipping zones API tests","","Shipping zones API tests","can retrieve a shipping zone","can retrieve a shipping zone",""
"passed","Sat Apr 09 15:29:14 UTC 2022","Sat Apr 09 15:29:14 UTC 2022","75","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tax class","tax class",""
"passed","Sat Apr 09 15:29:25 UTC 2022","Sat Apr 09 15:29:25 UTC 2022","485","","Orders API tests List all orders","","Orders API tests List all orders","pagination","pagination",""
"passed","Sat Apr 09 15:29:15 UTC 2022","Sat Apr 09 15:29:15 UTC 2022","113","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","default","default",""
"passed","Sat Apr 09 15:29:44 UTC 2022","Sat Apr 09 15:29:44 UTC 2022","72","","Order Search API tests","","Order Search API tests","can search by shipping state","can search by shipping state",""
"passed","Sat Apr 09 15:29:33 UTC 2022","Sat Apr 09 15:29:34 UTC 2022","230","","Products API tests: CRUD","","Products API tests: CRUD","can add a virtual product","can add a virtual product",""
"passed","Sat Apr 09 15:29:25 UTC 2022","Sat Apr 09 15:29:25 UTC 2022","76","","Orders API tests","","Orders API tests","can retrieve an order","can retrieve an order",""
"passed","Sat Apr 09 15:29:16 UTC 2022","Sat Apr 09 15:29:16 UTC 2022","192","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","include","include",""
"passed","Sat Apr 09 15:29:32 UTC 2022","Sat Apr 09 15:29:32 UTC 2022","78","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch update coupons","can batch update coupons",""
